"module": executable file not found in $PATH
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 44151ms | tok/sec: 11,874 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854701 | lrm: 1.00 | dt: 309ms | tok/sec: 1,697,716 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442314 | lrm: 1.00 | dt: 313ms | tok/sec: 1,673,399 | mfu: 40.4% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971715 | lrm: 1.00 | dt: 334ms | tok/sec: 1,570,060 | mfu: 37.9% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578764 | lrm: 1.00 | dt: 321ms | tok/sec: 1,633,256 | mfu: 39.5% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248854 | lrm: 1.00 | dt: 312ms | tok/sec: 1,679,012 | mfu: 40.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998092 | lrm: 1.00 | dt: 324ms | tok/sec: 1,615,816 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787112 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,938 | mfu: 38.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.607028 | lrm: 1.00 | dt: 315ms | tok/sec: 1,663,795 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455193 | lrm: 1.00 | dt: 324ms | tok/sec: 1,620,425 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325429 | lrm: 1.00 | dt: 331ms | tok/sec: 1,582,135 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217130 | lrm: 1.00 | dt: 315ms | tok/sec: 1,665,246 | mfu: 40.2% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120779 | lrm: 1.00 | dt: 322ms | tok/sec: 1,626,009 | mfu: 39.3% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034961 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,850 | mfu: 38.7% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962883 | lrm: 1.00 | dt: 317ms | tok/sec: 1,651,409 | mfu: 39.9% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.898310 | lrm: 1.00 | dt: 320ms | tok/sec: 1,640,730 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.842162 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,946 | mfu: 38.8% | epoch: 1 | remaining: 298s    
step 00017 (0.6%) | loss: 5.787690 | lrm: 1.00 | dt: 320ms | tok/sec: 1,638,152 | mfu: 39.6% | epoch: 1 | remaining: 298s    
step 00018 (0.7%) | loss: 5.738788 | lrm: 1.00 | dt: 319ms | tok/sec: 1,642,623 | mfu: 39.7% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.693247 | lrm: 1.00 | dt: 329ms | tok/sec: 1,591,493 | mfu: 38.5% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650854 | lrm: 1.00 | dt: 321ms | tok/sec: 1,632,584 | mfu: 39.4% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610311 | lrm: 1.00 | dt: 317ms | tok/sec: 1,655,513 | mfu: 40.0% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574380 | lrm: 1.00 | dt: 326ms | tok/sec: 1,606,383 | mfu: 38.8% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536845 | lrm: 1.00 | dt: 325ms | tok/sec: 1,615,516 | mfu: 39.0% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500962 | lrm: 1.00 | dt: 318ms | tok/sec: 1,647,784 | mfu: 39.8% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.468098 | lrm: 1.00 | dt: 322ms | tok/sec: 1,625,895 | mfu: 39.3% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.436877 | lrm: 1.00 | dt: 325ms | tok/sec: 1,613,257 | mfu: 39.0% | epoch: 1 | remaining: 295s    
